date,metric_type,Provider Name,Download Speed,Upload Speed,Download Speed Mbps,Upload Speed Mbps,Minimum Latency,Test Count,Sample Count,User Count
10/29/2024,median,TransEuroCom,31542,36875,31.54,36.88,3,107,34,54
10/29/2024,median,alfanet,52154,51586,52.15,51.59,3,435,125,203
10/29/2024,median,Teleport,27197,30530,27.2,30.53,7,313,70,123
10/29/2024,median,Azeurotel,47253,44112,47.25,44.11,4,242,80,131
10/29/2024,median,GSP,36073,40982,36.07,40.98,4,271,77,139
10/29/2024,median,KATV 1,72495,74692,72.5,74.69,3,2627,729,1441
10/29/2024,median,Caspian Telecom,74425,82601,74.43,82.6,4,635,198,383
10/29/2024,median,AzFiberNet,55415,53754,55.42,53.75,3,227,63,114
10/29/2024,median,BeeOnline,54542,47222,54.54,47.22,4,117,30,57
10/29/2024,median,iZONE,41568,41533,41.57,41.53,3,182,57,94
10/29/2024,median,Connect CJSC,48699,47920,48.7,47.92,3,161,43,84
10/29/2024,median,FlexNET,29403,25705,29.4,25.71,8,119,28,46
10/29/2024,median,Selnet,36552,46452,36.55,46.45,5,458,121,236
10/29/2024,median,ArazNET,13943,15239,13.94,15.24,3,100,31,66
10/29/2024,median,Bulud Telecom,43847,44374,43.85,44.37,5,129,42,80
10/29/2024,median,Metronet,44229,41916,44.23,41.92,4,273,76,143
10/30/2024,mean,All Providers Combined,112011,113446,112.01,113.45,9,20117,5289,9999
10/30/2024,mean,Citynet,99472,105858,99.47,105.86,8,3211,941,1594
10/30/2024,mean,EngiNet,63554,66645,63.55,66.65,10,696,180,395
10/30/2024,mean,Aztelekom,148751,139624,148.75,139.62,10,3581,884,1810
10/30/2024,mean,Azeronline,139398,155785,139.4,155.79,19,2053,501,981
10/30/2024,mean,Baktelekom,179726,174135,179.73,174.14,7,3585,979,1864
10/30/2024,mean,ULTEL,130175,120141,130.18,120.14,9,213,71,126
10/30/2024,mean,Delta Telecom,59419,64980,59.42,64.98,7,910,213,359
10/30/2024,mean,alfanet,48921,51107,48.92,51.11,3,134,45,84
10/30/2024,mean,Teleport,28022,31541,28.02,31.54,10,254,66,107
10/30/2024,mean,Azeurotel,71077,76621,71.08,76.62,5,239,68,115
10/30/2024,mean,Sazz,68084,75569,68.08,75.57,31,108,16,27
10/30/2024,mean,GSP,48617,57213,48.62,57.21,12,260,79,144
10/30/2024,mean,KATV 1,63180,65563,63.18,65.56,4,2162,578,1252
10/30/2024,mean,Caspian Telecom,64640,67208,64.64,67.21,5,537,165,315
10/30/2024,mean,AzFiberNet,87360,78968,87.36,78.97,9,216,55,96
10/30/2024,mean,BeeOnline,58520,45097,58.52,45.1,4,107,22,48
10/30/2024,mean,iZONE,96132,92898,96.13,92.9,3,176,46,85
10/30/2024,mean,Connect CJSC,85004,85076,85,85.08,8,108,26,61
10/30/2024,mean,Selnet,38517,67824,38.52,67.82,6,415,124,235
10/30/2024,mean,Bulud Telecom,43131,48539,43.13,48.54,7,174,50,89
10/30/2024,mean,Metronet,51224,56348,51.22,56.35,6,189,63,106
10/30/2024,median,All Providers Combined,66136,68693,66.14,68.69,5,20117,5289,9999
10/30/2024,median,Citynet,87684,87306,87.68,87.31,4,3211,941,1594
10/30/2024,median,EngiNet,57264,55417,57.26,55.42,5,696,180,395
10/30/2024,median,Aztelekom,78011,73464,78.01,73.46,7,3581,884,1810
10/30/2024,median,Azeronline,81533,94217,81.53,94.22,10,2053,501,981
10/30/2024,median,Baktelekom,85122,91257,85.12,91.26,4,3585,979,1864
10/30/2024,median,ULTEL,72216,69148,72.22,69.15,3,213,71,126
10/30/2024,median,Delta Telecom,36704,38838,36.7,38.84,3,910,213,359
10/30/2024,median,alfanet,50179,50005,50.18,50.01,3,134,45,84
10/30/2024,median,Teleport,22066,29586,22.07,29.59,6,254,66,107
10/30/2024,median,Azeurotel,62796,63906,62.8,63.91,3,239,68,115
10/30/2024,median,Sazz,21223,10095,21.22,10.1,12,108,16,27
10/30/2024,median,GSP,41158,41600,41.16,41.6,5,260,79,144
10/30/2024,median,KATV 1,68273,75700,68.27,75.7,3,2162,578,1252
10/30/2024,median,Caspian Telecom,70881,74351,70.88,74.35,4,537,165,315
10/30/2024,median,AzFiberNet,53954,58455,53.95,58.46,3,216,55,96
